Month,Price
Jan 1995,11876.44
Feb 1995,11818.17
Mar 1995,12093.93
Apr 1995,12283.82
May 1995,12102.1
Jun 1995,12170.09
Jul 1995,12119.35
Aug 1995,12120.14
Sep 1995,12741.53
Oct 1995,13241.7
Nov 1995,13388.42
Dec 1995,13544.71
Jan 1996,14286.8
Feb 1996,14818.69
Mar 1996,13647.55
Apr 1996,13450.99
May 1996,13713.83
Jun 1996,13480.39
Jul 1996,13622.95
Aug 1996,13825.26
Sep 1996,13689.98
Oct 1996,13582.29
Nov 1996,13502.97
Dec 1996,13224.34
Jan 1997,12738.64
Feb 1997,12438.24
Mar 1997,12619.24
Apr 1997,12338.59
May 1997,12314.94
Jun 1997,12202.78
Jul 1997,11582.07
Aug 1997,11640.38
Sep 1997,11755.57
Oct 1997,11769.89
Nov 1997,11370.19
Dec 1997,11324.79
Jan 1998,11378.25
Feb 1998,11576.23
Mar 1998,11690.84
Apr 1998,12225.02
May 1998,12075.24
Jun 1998,12349.86
Jul 1998,12450.03
Aug 1998,12142.73
Sep 1998,12287.69
Oct 1998,12531.16
Nov 1998,12463.97
Dec 1998,12412.18
Jan 1999,12203.2
Feb 1999,12203.06
Mar 1999,12135.19
Apr 1999,12075.25
May 1999,11823.6
Jun 1999,11272.2
Jul 1999,11084.77
Aug 1999,11155.98
Sep 1999,11526.3
Oct 1999,13502.09
Nov 1999,12723.39
Dec 1999,12309.24
Jan 2000,12382.68
Feb 2000,13077.75
Mar 2000,12483.33
Apr 2000,12205.39
May 2000,12100.23
Jun 2000,12769.55
Jul 2000,12609.06
Aug 2000,12541.03
Sep 2000,12558.9
Oct 2000,12515.53
Nov 2000,12444.55
Dec 2000,12690.44
Jan 2001,12355.9
Feb 2001,12181.9
Mar 2001,12262.59
Apr 2001,12186.79
May 2001,12778.39
Jun 2001,12702.23
Jul 2001,12611.85
Aug 2001,12836.74
Sep 2001,13503.83
Oct 2001,13592.68
Nov 2001,13254.95
Dec 2001,13217.92
Jan 2002,13606.99
Feb 2002,14388.34
Mar 2002,14332.32
Apr 2002,14806.95
May 2002,15410.01
Jun 2002,15725.33
Jul 2002,15277.25
Aug 2002,15075.69
Sep 2002,15459.5
Oct 2002,15311.83
Nov 2002,15396.81
Dec 2002,15977.8
Jan 2003,17104.3
Feb 2003,17135.72
Mar 2003,16224.16
Apr 2003,15548.35
May 2003,16746.54
Jun 2003,16649.03
Jul 2003,16229.25
Aug 2003,16526.21
Sep 2003,17375.04
Oct 2003,17199.35
Nov 2003,17748.7
Dec 2003,18553.24
Jan 2004,18806.34
Feb 2004,18329.59
Mar 2004,18306.15
Apr 2004,17716.56
May 2004,17363.02
Jun 2004,17859.08
Jul 2004,18329.51
Aug 2004,18560.59
Sep 2004,18682.64
Oct 2004,19250.21
Nov 2004,19821.41
Dec 2004,19442.87
Jan 2005,18554.21
Feb 2005,18490.66
Mar 2005,18954.91
Apr 2005,18775.03
May 2005,18347.73
Jun 2005,18770.71
Jul 2005,18480.74
Aug 2005,19105.09
Sep 2005,20028.12
Oct 2005,21062.09
Nov 2005,21796.27
Dec 2005,23290.2
Jan 2006,24412.96
Feb 2006,24603.73
Mar 2006,24776.86
Apr 2006,27448.36
May 2006,30668.85
Jun 2006,27455.96
Jul 2006,29439.75
Aug 2006,29440.16
Sep 2006,27589.09
Oct 2006,26634.49
Nov 2006,28162.57
Dec 2006,28110.36
Jan 2007,27985.75
Feb 2007,29356.92
Mar 2007,28832.3
Apr 2007,28636.16
May 2007,27220.91
Jun 2007,26726.01
Jul 2007,26892.24
Aug 2007,27160.45
Sep 2007,28748.3
Oct 2007,29816.65
Nov 2007,31798.5
Dec 2007,31678.21
Jan 2008,35025.98
Feb 2008,36642.54
Mar 2008,39082.61
Apr 2008,36416.2
May 2008,37435.25
Jun 2008,38087.96
Jul 2008,40256.48
Aug 2008,36027.07
Sep 2008,37814.93
Oct 2008,39235.79
Nov 2008,37284.68
Dec 2008,39696.17
Jan 2009,41938.42
Feb 2009,46416.55
Mar 2009,47387.32
Apr 2009,44573.36
May 2009,45071.1
Jun 2009,45178.09
Jul 2009,45317.38
Aug 2009,45873.04
Sep 2009,48273.77
Oct 2009,48737.54
Nov 2009,52485.13
Dec 2009,52911.99
Jan 2010,51344.37
Feb 2010,50745.73
Mar 2010,50654.74
Apr 2010,51115.5
May 2010,55173.16
Jun 2010,57410.36
Jul 2010,55917.02
Aug 2010,56616.02
Sep 2010,58511.91
Oct 2010,59609.17
Nov 2010,61476.63
Dec 2010,62809.68
Jan 2011,61743.4
Feb 2011,62486.08
Mar 2011,64031.82
Apr 2011,65730.36
May 2011,67907.28
Jun 2011,68594.58
Jul 2011,69854.13
Aug 2011,79645.34
Sep 2011,84580.51
Oct 2011,82055.02
Nov 2011,88150.88
Dec 2011,86328.88
Jan 2012,84732.63
Feb 2012,85781.78
Mar 2012,84338.83
Apr 2012,85434.05
May 2012,86343.66
Jun 2012,89578.52
Jul 2012,88525.34
Aug 2012,90579.25
Sep 2012,95194.24
Oct 2012,92496.06
Nov 2012,94207.98
Dec 2012,92015.3
Jan 2013,90803.52
Feb 2013,87471.13
Mar 2013,86644.73
Apr 2013,80903.44
May 2013,77818.8
Jun 2013,78355.69
Jul 2013,76847.65
Aug 2013,85441.92
Sep 2013,85891.21
Oct 2013,81142.34
Nov 2013,80007.36
Dec 2013,75670.14
Jan 2014,77312.91
Feb 2014,80943.59
Mar 2014,81456.73
Apr 2014,78370.05
May 2014,76477.43
Jun 2014,76378.35
Jul 2014,78718.95
Aug 2014,78867.16
Sep 2014,75285.57
Oct 2014,74997.34
Nov 2014,72491.16
Dec 2014,75291.99
Jan 2015,77715.8
Feb 2015,76113.23
Mar 2015,73605.25
Apr 2015,75236.65
May 2015,76484.8
Jun 2015,75451.46
Jul 2015,71812.23
Aug 2015,72746.31
Sep 2015,74476.64
Oct 2015,75438.75
Nov 2015,71759.82
Dec 2015,71639.46
Jan 2016,73882.06
Feb 2016,81857.57
Mar 2016,83496.73
Apr 2016,82572.44
May 2016,84340.04
Jun 2016,85878.28
Jul 2016,89845.99
Aug 2016,89707.71
Sep 2016,88540.4
Oct 2016,84551.36
Nov 2016,83622.54
Dec 2016,78583.48
Jan 2017,81191.05
Feb 2017,82818.17
Mar 2017,81169.45
Apr 2017,81731.26
May 2017,80267.72
Jun 2017,81206.16
Jul 2017,79702.45
Aug 2017,82070.82
Sep 2017,84705.81
Oct 2017,83278.23
Nov 2017,83160.05
Dec 2017,81231.2
Jan 2018,84729.66
Feb 2018,85664.2
Mar 2018,86116.81
Apr 2018,87643.83
May 2018,88040.16
Jun 2018,86881.56
Jul 2018,85032.02
Aug 2018,83560.63
Sep 2018,86643.99
Oct 2018,89474.27
Nov 2018,87672.27
Dec 2018,88567.77
Jan 2019,91392.22
Feb 2019,93999.48
Mar 2019,90384.77
Apr 2019,89277.4
May 2019,89588.57
Jun 2019,94370.2
Jul 2019,97215.99
Aug 2019,106747.7
Sep 2019,107755.2
Oct 2019,106209.1
Nov 2019,105057.2
Dec 2019,105296.5
Jan 2020,111318.5
Feb 2020,114110.6
Mar 2020,118306.2
Apr 2020,128239.4
May 2020,129825.5
Jun 2020,131144.1
Jul 2020,138521.8
Aug 2020,147001.4
Sep 2020,141258.9
Oct 2020,139622.5
Nov 2020,138605.9
